scenario_name,scenario_family,case_id,case_label,case_value,baseline,baseline_category,seed,severity,policy_name,score_method,threshold,target_coverage,target_abstention_rate,target_selective_accuracy,target_selective_risk,target_risk_reduction,target_selective_ece,target_ece_reduction,subgroup_abstention_gap,recalibrated_target_selective_ece,recalibrated_target_selective_log_loss
paper_selective_shift,selective_shift,severity_0_40,severity=0.40,0.4,confidence_abstention,selective,3,0.4,confidence_abstention,confidence,0.6666793549956336,0.7090909090909091,0.2909090909090909,0.8076923076923077,0.1923076923076923,0.06678321678321675,0.04787086246599788,0.010845468311735787,,,
paper_selective_shift,selective_shift,severity_0_40,severity=0.40,0.4,weighted_confidence_abstention,selective,3,0.4,confidence_abstention,confidence,0.6666793549956336,0.7090909090909091,0.2909090909090909,0.8076923076923077,0.1923076923076923,0.06678321678321675,0.04787086246599788,0.010845468311735787,,,
paper_selective_shift,selective_shift,severity_0_40,severity=0.40,0.4,recalibrated_confidence_abstention,selective,3,0.4,confidence_abstention,confidence,0.7290939850206011,0.7090909090909091,0.2909090909090909,0.8076923076923077,0.1923076923076923,0.06678321678321675,0.09472515761192943,0.00829434636926174,,0.09472515761192943,0.5268185070482414
paper_selective_shift,selective_shift,severity_1_00,severity=1.00,1.0,confidence_abstention,selective,3,1.0,confidence_abstention,confidence,0.6666793549956336,0.6818181818181818,0.31818181818181823,0.78,0.21999999999999997,0.030000000000000027,0.09450324475092377,-0.022810713730530494,,,
paper_selective_shift,selective_shift,severity_1_00,severity=1.00,1.0,weighted_confidence_abstention,selective,3,1.0,confidence_abstention,confidence,0.6411026330286838,0.75,0.25,0.7818181818181819,0.21818181818181814,0.03181818181818186,0.0725249457815387,-0.000832414761145428,,,
paper_selective_shift,selective_shift,severity_1_00,severity=1.00,1.0,recalibrated_confidence_abstention,selective,3,1.0,confidence_abstention,confidence,0.7375160992566644,0.75,0.25,0.7818181818181819,0.21818181818181814,0.03181818181818186,0.1373464571824743,-0.014226776484569242,,0.1373464571824743,0.5930467291102919
paper_selective_shift,selective_shift,severity_0_40,severity=0.40,0.4,confidence_abstention,selective,13,0.4,confidence_abstention,confidence,0.6781568250762344,0.7318181818181818,0.2681818181818182,0.8074534161490683,0.1925465838509317,0.080180688876341,0.09413835140354924,0.024548986754748592,,,
paper_selective_shift,selective_shift,severity_0_40,severity=0.40,0.4,weighted_confidence_abstention,selective,13,0.4,confidence_abstention,confidence,0.6939414848420242,0.7045454545454546,0.2954545454545454,0.8193548387096774,0.1806451612903226,0.09208211143695011,0.09132227906166002,0.02736505909663782,,,
paper_selective_shift,selective_shift,severity_0_40,severity=0.40,0.4,recalibrated_confidence_abstention,selective,13,0.4,confidence_abstention,confidence,0.6968403831690132,0.7045454545454546,0.2954545454545454,0.8193548387096774,0.1806451612903226,0.09208211143695011,0.08888935522736677,0.037218537493489134,,0.08888935522736677,0.40931031972939735
paper_selective_shift,selective_shift,severity_1_00,severity=1.00,1.0,confidence_abstention,selective,13,1.0,confidence_abstention,confidence,0.6781568250762344,0.7818181818181819,0.21818181818181814,0.9069767441860465,0.09302325581395354,0.07970401691331919,0.09640953785136375,0.0064364830267557155,,,
paper_selective_shift,selective_shift,severity_1_00,severity=1.00,1.0,weighted_confidence_abstention,selective,13,1.0,confidence_abstention,confidence,0.6939414848420242,0.7681818181818182,0.2318181818181818,0.9171597633136095,0.08284023668639051,0.08988703604088222,0.09551268029719949,0.0073333405809199725,,,
paper_selective_shift,selective_shift,severity_1_00,severity=1.00,1.0,recalibrated_confidence_abstention,selective,13,1.0,confidence_abstention,confidence,0.6862557924300134,0.7681818181818182,0.2318181818181818,0.9171597633136095,0.08284023668639051,0.08988703604088222,0.08868091777529676,0.01731396157192537,,0.08868091777529676,0.25288876836338686
